Prov/Terr,FSA,Total,Total Income,Income per capita,Net Income,Taxable Income
12,B3R,6650,210554000,31662.25564,195607000,184523000
12,B3S,10080,437276000,43380.55556,401411000,395131000
12,B3T,13280,622672000,46887.95181,567032000,557620000
12,B3V,4910,230851000,47016.49695,210969000,206922000
12,B3Z,13280,733377000,55224.17169,663136000,651777000
12,B4A,14370,850196000,59164.64857,770965000,758942000
12,B4B,10000,620883000,62088.3,560464000,554187000
12,B4C,14780,603902000,40859.4046,551563000,541653000
12,B4E,14190,639393000,45059.40803,583912000,575790000
12,B4G,3840,181351000,47226.82292,165744000,164211000
12,B4H,10970,394652000,35975.56974,365727000,349206000
12,B4N,14230,533289000,37476.38791,492648000,472699000
12,B4P,6420,267613000,41684.26791,242669000,236991000
12,B4R,2370,100238000,42294.51477,91444000,89987000
12,B4V,17010,633007000,37213.8154,584000000,560647000
12,B5A,13180,453955000,34442.71624,425429000,405463000
12,B6L,10230,420885000,41142.22874,386235000,376937000
12,B9A,3680,150671000,40943.20652,138687000,134356000
13,E0A,0,0,#DIV/0!,0,0
13,E0C,0,0,#DIV/0!,0,0
13,E0G,0,0,#DIV/0!,0,0
13,E1A,34130,1553280000,45510.6944,1415355000,1381134000
13,E1B,16100,695225000,43181.67702,635202000,624567000
13,E1C,19520,641919000,32885.19467,598674000,568290000
13,E1E,8820,386839000,43859.29705,356237000,347647000
13,E1G,17580,842402000,47918.2025,764777000,755551000
13,E1H,6180,254824000,41233.65696,234394000,228490000
13,E1J,2840,125384000,44149.29577,115146000,113069000
13,E1N,9360,346977000,37070.19231,319272000,307645000
13,E1V,11330,451245000,39827.44925,415585000,401265000
13,E1W,6190,237518000,38371.24394,221833000,212009000
13,E1X,12280,412519000,33592.75244,387324000,364162000
13,E2A,14790,555677000,37571.12914,513733000,491112000
13,E2E,15320,907824000,59257.44125,816304000,806472000
13,E2G,3980,211763000,53206.78392,191349000,188781000
13,E2H,3830,231645000,60481.72324,211927000,207091000
13,E2J,12910,460622000,35679.47328,427471000,412738000
13,E2K,13360,537490000,40231.28743,496485000,474934000
13,E2L,6230,201214000,32297.5923,188522000,174605000
13,E2M,15240,638331000,41885.23622,584790000,570144000
13,E2N,3640,155735000,42784.34066,142434000,139778000
13,E2P,1090,41523000,38094.49541,38488000,37667000
13,E2R,0,0,#DIV/0!,0,0
13,E2S,5560,241394000,43416.18705,222294000,217600000
13,E2V,10680,465263000,43563.95131,419238000,414187000
13,E3A,22230,904069000,40668.8709,824747000,804999000
